FID,OBJECTID,SHAPE,BASIS_TYP_TXT,BASIS_TYP,SE_ANNO_CAD_DATA
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_181,5178907,POINT (16.49043365157033 48.21461500509452),Wasserspielmöglichkeit,13,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_182,5178908,POINT (16.40093080792127 48.213167153674554),Wasserspielmöglichkeit,13,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_183,5178909,POINT (16.364788785723132 48.234884356379446),Grundwasserbrunnen,1,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_184,5178910,POINT (16.386900611034818 48.233935280521194),Grundwasserbrunnen,1,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_185,5178911,POINT (16.33501779931815 48.201867735675215),Sprühnebeldusche,11,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_186,5178912,POINT (16.33122867560372 48.175845439923634),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_187,5178913,POINT (16.335038087494745 48.20186059706403),Sprühnebeldusche,11,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_188,5178914,POINT (16.330104297652728 48.22304555490443),Sprühnebeldusche,11,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_189,5178915,POINT (16.33012416747858 48.22304512695694),Sprühnebeldusche,11,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_18a,5178916,POINT (16.330116263531952 48.22303270610455),Sprühnebeldusche,11,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_18b,5178917,POINT (16.378760551956926 48.173808836773034),Spielbrunnen,3,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_18c,5178918,POINT (16.378747370081367 48.173604726793805),Spielbrunnen,3,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_18d,5178919,POINT (16.30053787235869 48.177814378496386),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_18e,5178920,POINT (16.3666804032302 48.2535232021491),Sprühnebeldusche,11,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_18f,5178921,POINT (16.339108562410804 48.18880272354801),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_190,5178922,POINT (16.34662524518995 48.19225884411426),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_191,5178923,POINT (16.429986907805887 48.164595875465764),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_192,5178924,POINT (16.308024454859158 48.168928627154614),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_193,5178925,POINT (16.44385955501384 48.23889254157697),Spielbrunnen,3,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_194,5178926,POINT (16.300054356304475 48.149993043069905),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_195,5178927,POINT (16.311651694598478 48.19584954740593),Bodenfontäne,12,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_196,5178928,POINT (16.451179228950128 48.22736519245207),Grundwasserbrunnen,1,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_197,5178929,POINT (16.389698844162748 48.19956184247643),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_198,5178930,POINT (16.510122055833325 48.23008151552673),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_199,5178931,POINT (16.337377943353925 48.18717165824998),Sprühnebeldusche,11,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_19a,5178932,POINT (16.360282885678796 48.2420590680323),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_19b,5178933,POINT (16.509502730076445 48.227949637317614),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_19c,5178934,POINT (16.416552356681244 48.239984531780244),Zierbrunnen,6,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_19d,5178935,POINT (16.390847948468622 48.226805289157596),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_19e,5178936,POINT (16.390688488019588 48.227744178584544),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_19f,5178937,POINT (16.390684494066527 48.226881237635965),Grundwasserbrunnen,1,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_1a0,5178938,POINT (16.390889869081523 48.22693294938987),Grundwasserbrunnen,1,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_1a1,5178939,POINT (16.393862931004904 48.2165478303118),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_1a2,5178940,POINT (16.386442917251767 48.19559628835633),Bodenfontäne,12,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_1a3,5178941,POINT (16.345366298106413 48.1800825230534),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_1a4,5178942,POINT (16.462494788807142 48.157771070484564),Sprühnebeldusche,11,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_1a5,5178943,POINT (16.377329959909527 48.24616021796596),Sprühnebeldusche,11,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_1a6,5178944,POINT (16.3772893606514 48.246210112860275),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_1a7,5178945,POINT (16.445052937968903 48.27174331271058),Wasserspielmöglichkeit,13,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_1a8,5178946,POINT (16.313217616289368 48.14822341763053),Sprühnebeldusche,11,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_1a9,5178947,POINT (16.398999552026492 48.15085717721665),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_1aa,5178948,POINT (16.350138222556126 48.232425403268444),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_1ab,5178949,POINT (16.342623028617606 48.22081149781189),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_1ac,5178950,POINT (16.333413247054352 48.20876028947432),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_1ad,5178951,POINT (16.426811185964972 48.17034708775617),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_1ae,5178952,POINT (16.433774670221 48.16811097371528),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_1af,5179041,POINT (16.40145299764228 48.15061521146438),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_1b0,5179042,POINT (16.35106212616464 48.21225613475912),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_1b1,5179043,POINT (16.343973541366996 48.21393881261693),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_1b2,5179044,POINT (16.30543856793045 48.15232611312811),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_1b3,5179045,POINT (16.39101394231751 48.204628251687424),Spielbrunnen,3,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_1b4,5179046,POINT (16.389213053763502 48.2566147550305),Bodenfontäne,12,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_1b5,5179047,POINT (16.3845713337363 48.15576051478005),Wasserspielmöglichkeit,13,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_1b6,5179048,POINT (16.3847175109639 48.16698874065572),Wasserspielmöglichkeit,13,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_1b7,5179049,POINT (16.403036808592926 48.226452835170285),Wasserspielmöglichkeit,13,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_1b8,5179050,POINT (16.368306028119097 48.240123140012095),Wasserspielmöglichkeit,13,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_1b9,5179051,POINT (16.275306613334497 48.19676309879354),Wasserspielmöglichkeit,13,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_1ba,5179052,POINT (16.365671565017582 48.165550876061786),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_1bb,5179053,POINT (16.337966257261705 48.20735552274164),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_1bc,5179054,POINT (16.291156234517153 48.16193901564238),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_1bd,5179055,POINT (16.390817847194167 48.2045204819295),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_1be,5179056,POINT (16.33739364585094 48.206372883038085),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_1bf,5179057,POINT (16.443927010489066 48.23888389976316),Wasserspielmöglichkeit,13,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_1c0,5179058,POINT (16.389231926387474 48.23038570920853),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_1c1,5179059,POINT (16.438687443301454 48.24717761141599),Wasserspielmöglichkeit,13,
